VEHICULO;FECHA_ENTRADA;FECHA_SALIDA;dif_minutos;DISTANCIA_TOTAL;consumo_TOTAL;SOC_ENTRADA;SOC_SALIDA;DIF_SOC;N_Ordenes
41;2017-10-16 16:58:48.453;2017-10-16 06:15:52.317;643;6002870;-272215911;34;89;55;109
40;2017-10-16 18:06:54.840;2017-10-16 06:31:56.500;695;6371858;-299628085;34;89;55;95
35;2017-10-16 19:06:31.590;2017-10-16 09:02:04.497;604;8169252;-363257667;34;89;55;89
33;2017-10-16 20:31:24.427;2017-10-16 07:31:21.387;780;83;-329300;34;97;63;70
35;2017-10-17 10:16:22.827;2017-10-16 20:20:45.470;836;677178;-24039102;34;89;55;74
32;2017-10-17 12:58:41.583;2017-10-16 23:22:24.037;816;1588987;-64689816;34;89;55;96
38;2017-10-17 15:07:56.213;2017-10-17 01:06:35.480;841;3976;-575992;34;89;55;70
32;2017-10-17 17:49:50.477;2017-10-16 23:22:24.037;1107;4646375;-21999281;34;89;55;121
32;2017-10-17 18:01:40.467;2017-10-16 23:22:24.037;1119;656;2037177;34;89;55;121
35;2017-10-18 04:09:16.167;2017-10-17 11:31:40.243;998;4314;-2175188;34;89;55;61
41;2017-10-18 11:03:42.777;2017-10-17 14:23:06.183;1240;136;-937774;34;89;55;61
43;2017-10-18 21:56:41.543;2017-10-18 07:31:12.790;865;12425612;-569429696;34;89;55;73
33;2017-10-19 04:33:15.330;2017-10-18 13:10:20.737;923;0;-416398;33;89;56;62
38;2017-10-19 08:05:43.257;2017-10-18 12:52:44.613;1153;10317564;-528708234;33;89;56;55
38;2017-10-20 04:18:16.250;2017-10-19 09:09:58.180;1149;241217;-8742751;33;89;56;64
37;2017-10-20 16:25:17.913;2017-10-19 19:54:07.727;1231;12300211;-605361741;31;89;58;68
43;2017-10-20 20:06:42.817;2017-10-19 19:37:44.710;1469;8133292;-406177496;33;89;56;56
