BOTS;Operaciones;fecha;Mes;dia_semana;hora
7;14;27/10/2017;10;5;3
6;31;27/10/2017;10;5;4
6;34;27/10/2017;10;5;5
8;26;27/10/2017;10;5;6
7;38;27/10/2017;10;5;7
7;22;27/10/2017;10;5;8
7;38;27/10/2017;10;5;9
6;25;27/10/2017;10;5;10
7;21;27/10/2017;10;5;11
6;9;27/10/2017;10;5;12
8;36;27/10/2017;10;5;13
7;30;27/10/2017;10;5;14
6;12;27/10/2017;10;5;15
3;6;27/10/2017;10;5;16
4;14;27/10/2017;10;5;17
1;1;27/10/2017;10;5;18
2;2;27/10/2017;10;5;19
2;2;27/10/2017;10;5;20
2;11;29/10/2017;10;7;22
2;22;29/10/2017;10;7;23
2;3;30/10/2017;10;1;0
2;3;30/10/2017;10;1;3
3;8;30/10/2017;10;1;4
4;15;30/10/2017;10;1;6
3;3;30/10/2017;10;1;7
4;28;30/10/2017;10;1;8
4;50;30/10/2017;10;1;9
6;47;30/10/2017;10;1;10
5;66;30/10/2017;10;1;11
7;63;30/10/2017;10;1;12
7;73;30/10/2017;10;1;13
7;58;30/10/2017;10;1;14
7;58;30/10/2017;10;1;15
7;61;30/10/2017;10;1;16
7;40;30/10/2017;10;1;17
7;24;30/10/2017;10;1;18
5;19;30/10/2017;10;1;19
7;31;30/10/2017;10;1;20
6;49;30/10/2017;10;1;21
4;30;30/10/2017;10;1;22
5;17;30/10/2017;10;1;23
4;13;31/10/2017;10;2;0
6;37;31/10/2017;10;2;1
3;5;31/10/2017;10;2;2
4;9;31/10/2017;10;2;3
4;9;31/10/2017;10;2;4
5;21;31/10/2017;10;2;5
6;32;31/10/2017;10;2;6
6;75;31/10/2017;10;2;7
7;85;31/10/2017;10;2;8
8;73;31/10/2017;10;2;9
6;55;31/10/2017;10;2;10
8;46;31/10/2017;10;2;11
8;71;31/10/2017;10;2;12
7;19;31/10/2017;10;2;13
7;15;31/10/2017;10;2;14
9;28;31/10/2017;10;2;15
8;32;31/10/2017;10;2;16
9;42;31/10/2017;10;2;17
9;35;31/10/2017;10;2;18
9;37;31/10/2017;10;2;19
9;48;31/10/2017;10;2;20
7;39;31/10/2017;10;2;21
3;11;31/10/2017;10;2;22
3;3;31/10/2017;10;2;23
3;3;01/11/2017;11;3;0
3;11;01/11/2017;11;3;22
5;20;01/11/2017;11;3;23
4;6;02/11/2017;11;4;0
7;25;02/11/2017;11;4;6
6;49;02/11/2017;11;4;7
7;69;02/11/2017;11;4;8
7;59;02/11/2017;11;4;9
7;50;02/11/2017;11;4;10
8;39;02/11/2017;11;4;11
7;44;02/11/2017;11;4;12
7;47;02/11/2017;11;4;13
7;33;02/11/2017;11;4;14
8;27;02/11/2017;11;4;15
8;34;02/11/2017;11;4;16
9;54;02/11/2017;11;4;17
9;37;02/11/2017;11;4;18
9;23;02/11/2017;11;4;19
6;31;02/11/2017;11;4;20
6;16;02/11/2017;11;4;21
7;30;02/11/2017;11;4;22
6;13;02/11/2017;11;4;23
3;6;03/11/2017;11;5;0
5;14;03/11/2017;11;5;1
4;6;03/11/2017;11;5;2
5;19;03/11/2017;11;5;3
3;7;03/11/2017;11;5;4
2;5;03/11/2017;11;5;5
7;20;03/11/2017;11;5;6
