IDREGISTRO;FECHA;VEHICULO;INDICE;ESTACION;TEMPERATURA;SOC;TENSION;CONSUMO
48276;2017-10-02 00:45:23.123;37;63;3716;123;99;2688;0
48277;2017-10-02 00:45:27.997;37;63;3716;124;99;2688;0
48278;2017-10-02 00:45:32.120;37;63;3716;123;99;2688;0
48279;2017-10-02 00:45:36.103;37;63;3716;-128;99;2688;0
48280;2017-10-02 00:45:40.150;37;63;3716;-128;99;2688;0
48281;2017-10-02 00:45:44.267;37;63;3716;123;99;2688;0
48282;2017-10-02 00:45:48.147;37;63;3716;126;99;2688;0
48283;2017-10-02 00:45:52.170;37;63;3716;122;99;2688;0
48284;2017-10-02 00:45:56.193;37;63;3716;127;99;2688;0
48285;2017-10-02 00:46:00.130;37;63;3716;126;99;2688;0
48286;2017-10-02 00:46:04.163;37;63;3716;121;99;2688;0
48287;2017-10-02 00:46:08.163;37;63;3716;126;99;2688;0
48288;2017-10-02 00:46:12.167;37;63;3716;124;99;2688;0
48289;2017-10-02 00:46:16.160;37;63;3716;123;99;2687;0
48290;2017-10-02 00:46:21.050;37;63;3716;-128;99;2688;0
48291;2017-10-02 00:46:26.040;37;63;3716;119;99;2688;0
48292;2017-10-02 00:46:30.170;37;63;3716;126;99;2688;0
48293;2017-10-02 00:46:34.230;37;63;3716;121;99;2688;0
48294;2017-10-02 00:46:38.210;37;63;3716;124;99;2687;0
48295;2017-10-02 00:46:42.197;37;63;3716;127;99;2687;0
48296;2017-10-02 00:46:47.243;37;63;3716;124;99;2687;0
48297;2017-10-02 00:46:51.203;37;63;3716;124;99;2688;0
48298;2017-10-02 00:46:55.237;37;63;3716;122;99;2687;0
48299;2017-10-02 00:46:59.243;37;63;3716;124;99;2687;0
48300;2017-10-02 00:47:04.230;37;63;3716;122;99;2688;0
48301;2017-10-02 00:47:08.237;37;63;3716;124;99;2687;0
48302;2017-10-02 00:47:13.093;37;63;3716;125;99;2687;0
48303;2017-10-02 00:47:17.240;37;63;3716;124;99;2687;0
48304;2017-10-02 00:47:21.260;37;63;3716;124;99;2687;0
48305;2017-10-02 00:47:25.247;37;63;3716;121;99;2687;0
48306;2017-10-02 00:47:29.243;37;63;3716;122;99;2687;0
48307;2017-10-02 00:47:33.263;37;63;3716;124;99;2687;0
48308;2017-10-02 00:47:37.270;37;63;3716;126;99;2687;0
48309;2017-10-02 00:47:42.283;37;63;3716;123;99;2687;0
48310;2017-10-02 00:47:47.270;37;63;3716;126;99;2687;0
48311;2017-10-02 00:47:51.320;37;63;3716;124;99;2687;0
48312;2017-10-02 00:47:55.447;37;63;3716;123;99;2687;0
48313;2017-10-02 00:47:59.417;37;63;3716;125;99;2687;0
48314;2017-10-02 00:48:03.447;37;63;3716;126;99;2687;0
48315;2017-10-02 00:48:07.320;37;63;3716;-128;99;2687;0
48316;2017-10-02 00:48:11.350;37;63;3716;124;99;2686;0
48317;2017-10-02 00:48:15.420;37;63;3716;126;99;2687;0
48318;2017-10-02 00:48:20.397;37;63;3716;124;99;2687;0
48319;2017-10-02 00:48:24.607;37;63;3716;126;99;2686;0
48320;2017-10-02 00:48:28.480;37;63;3716;127;99;2687;0
48321;2017-10-02 00:48:32.433;37;63;3716;-128;99;2687;0
48322;2017-10-02 00:48:36.423;37;63;3716;126;99;2686;0
48323;2017-10-02 00:48:40.553;37;63;3716;127;99;2686;0
48324;2017-10-02 00:48:44.547;37;63;3716;126;99;2686;0
48325;2017-10-02 00:48:48.463;37;63;3716;-128;99;2686;0
48326;2017-10-02 00:48:52.510;37;63;3716;127;99;2686;0
48327;2017-10-02 00:48:57.347;37;63;3716;125;99;2686;0
48328;2017-10-02 00:49:01.527;37;63;3716;126;99;2686;0
48329;2017-10-02 00:49:05.497;37;63;3716;125;99;2686;0
48330;2017-10-02 00:49:09.473;37;63;3716;-127;99;2686;0
48331;2017-10-02 00:49:14.473;37;63;3716;125;99;2686;0
48332;2017-10-02 00:49:18.557;37;63;3716;-128;99;2686;0
48333;2017-10-02 00:49:22.510;37;63;3716;124;99;2686;0
48334;2017-10-02 00:49:26.480;37;63;3716;125;99;2686;0
48335;2017-10-02 00:49:31.487;37;63;3716;125;99;2686;0
48336;2017-10-02 00:49:35.523;37;63;3716;125;99;2686;0
48337;2017-10-02 00:49:39.510;37;63;3716;126;99;2686;0
48338;2017-10-02 00:49:44.520;37;63;3716;-128;99;2686;0
48339;2017-10-02 00:49:48.550;37;63;3716;126;99;2686;0
48340;2017-10-02 00:49:53.523;37;63;3716;-127;99;2686;0
48341;2017-10-02 00:49:57.540;37;63;3716;127;99;2686;0
48342;2017-10-02 00:50:02.543;37;63;3716;125;99;2686;0
48343;2017-10-02 00:50:06.540;37;63;3716;-128;99;2686;0
48344;2017-10-02 00:50:10.563;37;63;3716;125;99;2685;0
48345;2017-10-02 00:50:14.603;37;63;3716;126;99;2685;0
48346;2017-10-02 00:50:19.563;37;63;3716;125;99;2685;0
48347;2017-10-02 00:50:23.680;37;63;3716;127;99;2685;0
48348;2017-10-02 00:50:27.590;37;63;3716;126;99;2685;0
48349;2017-10-02 00:50:31.553;37;63;3716;124;99;2685;0
48350;2017-10-02 00:50:35.610;37;63;3716;124;99;2685;0
48351;2017-10-02 00:50:40.667;37;63;3716;126;99;2685;0
48352;2017-10-02 00:50:44.620;37;63;3716;123;99;2685;0
48353;2017-10-02 00:50:48.620;37;63;3716;-128;99;2685;0
48354;2017-10-02 00:50:52.643;37;63;3716;125;99;2685;0
48355;2017-10-02 00:50:56.627;37;63;3716;123;99;2685;0
48356;2017-10-02 00:51:00.610;37;63;3716;126;99;2685;0
48357;2017-10-02 00:51:04.747;37;63;3716;123;99;2685;0
48358;2017-10-02 00:51:08.617;37;63;3716;-128;99;2685;0
48359;2017-10-02 00:51:13.493;37;63;3716;124;99;2685;0
48360;2017-10-02 00:51:17.620;37;63;3716;124;99;2685;0
48361;2017-10-02 00:51:22.520;37;63;3716;126;99;2685;0
48362;2017-10-02 00:51:26.637;37;63;3716;124;99;2685;0
48363;2017-10-02 00:51:30.640;37;63;3716;127;99;2685;0
48364;2017-10-02 00:51:34.627;37;63;3716;127;99;2685;0
48365;2017-10-02 00:51:38.843;37;63;3716;-128;99;2685;0
48366;2017-10-02 00:51:43.707;37;63;3716;125;99;2685;0
48367;2017-10-02 00:51:48.547;37;63;3716;123;99;2684;0
48368;2017-10-02 00:51:52.660;37;63;3716;125;99;2684;0
48369;2017-10-02 00:51:56.690;37;63;3716;125;99;2684;0
48370;2017-10-02 00:52:00.680;37;63;3716;124;99;2685;0
48371;2017-10-02 00:52:04.730;37;63;3716;124;99;2684;0
48372;2017-10-02 00:52:08.860;37;63;3716;125;99;2684;0
48373;2017-10-02 00:52:12.670;37;63;3716;127;99;2684;0
48374;2017-10-02 00:52:16.857;37;63;3716;124;99;2684;0
48375;2017-10-02 00:52:21.573;37;63;3716;125;99;2684;0
48376;2017-10-02 00:52:25.703;37;63;3716;127;99;2684;0
48377;2017-10-02 00:52:29.703;37;63;3716;126;99;2684;0
48378;2017-10-02 00:52:33.710;37;63;3716;-128;99;2684;0
48379;2017-10-02 00:52:37.723;37;63;3716;124;99;2684;0
48380;2017-10-02 00:52:41.733;37;63;3716;125;99;2684;0
48381;2017-10-02 00:52:47.610;37;63;3716;125;99;2684;0
48382;2017-10-02 00:52:51.987;37;63;3716;126;99;2684;0
48383;2017-10-02 00:52:55.727;37;63;3716;-128;99;2684;0
48384;2017-10-02 00:52:59.737;37;63;3716;127;99;2684;0
48385;2017-10-02 00:53:04.010;37;63;3716;125;99;2684;0
48386;2017-10-02 00:53:08.370;37;63;3716;127;99;2684;0
48387;2017-10-02 00:53:12.803;37;63;3716;125;99;2684;0
48388;2017-10-02 00:53:17.853;37;63;3716;127;99;2684;0
48389;2017-10-02 00:53:22.013;37;63;3716;125;99;2684;0
48390;2017-10-02 00:53:27.207;37;63;3716;-128;99;2684;0
48391;2017-10-02 00:53:31.787;37;63;3716;127;99;2684;0
48392;2017-10-02 00:53:36.910;37;63;3716;127;99;2684;0
48393;2017-10-02 00:53:40.780;37;63;3716;125;99;2683;0
48394;2017-10-02 00:53:44.940;37;63;3716;124;99;2684;0
48395;2017-10-02 00:53:48.797;37;63;3716;-128;99;2684;0
48396;2017-10-02 00:53:52.817;37;63;3716;125;99;2684;0
48397;2017-10-02 00:53:56.837;37;63;3716;125;99;2684;0
48398;2017-10-02 00:54:01.687;37;63;3716;126;99;2684;0
48399;2017-10-02 00:54:06.187;37;63;3716;125;99;2684;0
48400;2017-10-02 00:54:10.870;37;63;3716;125;99;2684;0
48401;2017-10-02 00:54:14.840;37;63;3716;-128;99;2684;0
48402;2017-10-02 00:54:18.890;37;63;3716;124;99;2683;0
48403;2017-10-02 00:54:23.207;37;63;3716;-128;99;2683;0
48404;2017-10-02 00:54:26.847;37;63;3716;127;99;2683;0
48405;2017-10-02 00:54:30.840;37;63;3716;125;99;2684;0
48406;2017-10-02 00:54:34.890;37;63;3716;-127;99;2683;0
48407;2017-10-02 00:54:38.850;37;63;3716;124;99;2683;0
48408;2017-10-02 00:54:42.840;37;63;3716;125;99;2683;0
48409;2017-10-02 00:54:46.853;37;63;3716;-128;99;2683;0
48410;2017-10-02 00:54:50.923;37;63;3716;127;99;2683;0
48411;2017-10-02 00:54:54.910;37;63;3716;127;99;2683;0
48412;2017-10-02 00:54:58.927;37;63;3716;126;99;2683;0
48413;2017-10-02 00:55:02.867;37;63;3716;125;99;2683;0
48414;2017-10-02 00:55:07.870;37;63;3716;-128;99;2683;0
48415;2017-10-02 00:55:11.947;37;63;3716;127;99;2683;0
48416;2017-10-02 00:55:16.770;37;63;3716;-128;99;2683;0
48417;2017-10-02 00:55:21.790;37;63;3716;126;99;2683;0
48418;2017-10-02 00:55:25.437;37;63;3716;-127;99;2683;0
48419;2017-10-02 00:55:29.940;37;63;3716;126;99;2683;0
48420;2017-10-02 00:55:33.957;37;63;3716;126;99;2683;0
48421;2017-10-02 00:55:37.923;37;63;3716;-128;99;2683;0
48422;2017-10-02 00:55:41.937;37;63;3716;125;99;2683;0
48423;2017-10-02 00:55:45.953;37;63;3716;127;99;2683;0
48424;2017-10-02 00:55:49.963;37;63;3716;126;99;2683;0
48425;2017-10-02 00:55:54.020;37;63;3716;126;99;2683;0
48426;2017-10-02 00:55:57.913;37;63;3716;127;99;2683;0
48427;2017-10-02 00:56:01.960;37;63;3716;127;99;2683;0
48428;2017-10-02 00:56:06.237;37;63;3716;126;99;2683;0
48429;2017-10-02 00:56:09.970;37;63;3716;127;99;2683;0
48430;2017-10-02 00:56:14.183;37;63;3716;124;99;2683;0
48431;2017-10-02 00:56:18.097;37;63;3716;124;99;2683;0
48432;2017-10-02 00:56:21.950;37;63;3716;-128;99;2683;0
48433;2017-10-02 00:56:26.843;37;63;3716;123;99;2683;0
48434;2017-10-02 00:56:31.000;37;63;3716;-128;99;2682;0
48435;2017-10-02 00:56:35.153;37;63;3716;125;99;2682;0
48436;2017-10-02 00:56:39.013;37;63;3716;124;99;2683;0
48437;2017-10-02 00:56:42.993;37;63;3716;-127;99;2683;0
48438;2017-10-02 00:56:47.103;37;63;3716;125;99;2682;0
48439;2017-10-02 00:56:50.977;37;63;3716;-127;99;2682;0
48440;2017-10-02 00:56:55.010;37;63;3716;126;99;2682;0
48441;2017-10-02 00:56:59.260;37;63;3716;126;99;2682;0
48442;2017-10-02 00:57:03.910;37;63;3716;-127;99;2682;0
